entity_type,entity_slug,assertion_id,claim_text,evidence_type,current_sources,gap_class,reference_grade,page_url
graph_edge,e1,diet-quality->obesity,diet-quality modifier obesity,literature,ref1|ref2,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e10,air-pollution->major-depressive-disorder,air-pollution modifier major-depressive-disorder,literature,ref3|ref5,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e100,hhip->copd,hhip association copd,GWAS,ref1|ref3,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e101,fam13a->copd,fam13a association copd,GWAS,ref2|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e102,mmp12->copd,mmp12 association copd,GWAS,ref3|ref5,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e103,heavy-metals->alzheimers-disease,heavy-metals modifier alzheimers-disease,literature,ref1|ref3,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e104,heavy-metals->hypertension,heavy-metals modifier hypertension,pathway,ref2|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e105,endocrine-disruptors->breast-cancer,endocrine-disruptors modifier breast-cancer,pathway,ref1|ref2,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e106,endocrine-disruptors->obesity,endocrine-disruptors modifier obesity,literature,ref3|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e107,egfr->breast-cancer,egfr association breast-cancer,literature,,EMPTY,,/graph
graph_edge,e108,brca2->colorectal-cancer,brca2 association colorectal-cancer,literature,,EMPTY,,/graph
graph_edge,e109,apoe->coronary-artery-disease,apoe association coronary-artery-disease,pathway,,EMPTY,,/graph
graph_edge,e11,obesity-exposure->major-depressive-disorder,obesity-exposure modifier major-depressive-disorder,literature,ref4|ref5,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e110,serpina1->asthma,serpina1 association asthma,literature,,EMPTY,,/graph
graph_edge,e111,drd2->major-depressive-disorder,drd2 association major-depressive-disorder,literature,,EMPTY,,/graph
graph_edge,e112,ace->coronary-artery-disease,ace association coronary-artery-disease,pathway,,EMPTY,,/graph
graph_edge,e113,slc6a4->schizophrenia,slc6a4 association schizophrenia,literature,,EMPTY,,/graph
graph_edge,e114,brca1->colorectal-cancer,brca1 association colorectal-cancer,literature,,EMPTY,,/graph
graph_edge,e115,ldlr->hypertension,ldlr association hypertension,pathway,,EMPTY,,/graph
graph_edge,e116,pcsk9->hypertension,pcsk9 association hypertension,inferred,,EMPTY,,/graph
graph_edge,e117,mc4r->type-2-diabetes,mc4r association type-2-diabetes,pathway,,EMPTY,,/graph
graph_edge,e118,tcf7l2->obesity,tcf7l2 association obesity,eQTL,,EMPTY,,/graph
graph_edge,e119,complement-system->multiple-sclerosis,complement-system pathway multiple-sclerosis,pathway,ref1|ref3,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e12,slc6a4->major-depressive-disorder,slc6a4 association major-depressive-disorder,GWAS,ref1|ref2,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e120,complement-system->rheumatoid-arthritis,complement-system pathway rheumatoid-arthritis,pathway,ref2|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e121,hla-drb1->complement-system,hla-drb1 pathway complement-system,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e122,il33->complement-system,il33 pathway complement-system,pathway,ref2,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e123,dopamine-signaling->schizophrenia,dopamine-signaling pathway schizophrenia,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e124,dopamine-signaling->major-depressive-disorder,dopamine-signaling pathway major-depressive-disorder,pathway,ref2|ref3,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e125,drd2->dopamine-signaling,drd2 pathway dopamine-signaling,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e126,slc6a4->dopamine-signaling,slc6a4 pathway dopamine-signaling,pathway,ref2,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e127,nf-kb->asthma,nf-kb pathway asthma,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e128,il33->nf-kb,il33 pathway nf-kb,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e129,ldl-cholesterol-metabolism->coronary-artery-disease,ldl-cholesterol-metabolism pathway coronary-artery-disease,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e13,bdnf->major-depressive-disorder,bdnf association major-depressive-disorder,GWAS,ref2|ref3,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e130,ldl-cholesterol-metabolism->hypertension,ldl-cholesterol-metabolism pathway hypertension,pathway,ref3,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e131,ldlr->ldl-cholesterol-metabolism,ldlr pathway ldl-cholesterol-metabolism,pathway,ref1|ref4,UNNAMESPACED_ID,unnamespaced,/graph
graph_edge,e132,pcsk9->ldl-cholesterol-metabolism,pcsk9 pathway ldl-cholesterol-metabolism,pathway,ref2|ref4,UNNAMESPACED_ID,unnamespaced,/graph
