report_date,export_date,site,mean,sd,median,p98,record_start,above_35
2026-08-28,"n/a, transcribed from DEQ's published report",1757 Golf Club,7.6,9.3,5.4,23.4,2026-04-08,no
2026-08-28,"n/a, transcribed from DEQ's published report",Belfort Park Dr,9.3,10.3,7.3,25.9,2026-05-14,no
2026-08-28,"n/a, transcribed from DEQ's published report",Broad Run HS,8.3,8.3,6.8,24.8,2026-03-03,no
2026-08-28,"n/a, transcribed from DEQ's published report",Broad Run HS Regulatory Monitor,8.2,15.3,6.0,22.3,2026-03-03,no
2026-08-28,"n/a, transcribed from DEQ's published report",Dulles Airport,5.8,7.0,4.1,17.8,2026-03-03,no
2026-08-28,"n/a, transcribed from DEQ's published report",Farmwell Station MS,8.2,10.3,6.1,24.6,2026-04-08,no
2026-08-28,"n/a, transcribed from DEQ's published report",Heritage Farm Museum,4.2,2.3,3.5,9.7,2026-03-03,no
2026-08-28,"n/a, transcribed from DEQ's published report",Newberry Condo Assoc,5.7,3.1,4.9,14.5,2026-03-03,no
2026-08-28,"n/a, transcribed from DEQ's published report",Sterling MS,10.5,12.0,8.4,33.8,2026-06-18,no
2026-08-28,"n/a, transcribed from DEQ's published report",Steuart Weller ES,4.6,2.4,3.9,10.2,2026-03-03,no
