site_id,unit_id,unit_id_confidence,ts_raw,ts_est,shift_hours,pollutant,value,unit,instrument_class,zero_run_length,excluded,exclusion_reason,v1_scope,scope_reason
ashburn-collocated,apex-14,ambiguous,2026-03-03 00:00:00,2026-03-02 23:00:00,1,NO2,5.01,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 00:00:00,2026-03-02 23:00:00,1,VOCs,0.27,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 00:00:00,2026-03-02 23:00:00,1,PM2.5,23.35,µg/m³,low_cost_sensor_kunak_apex,,true,kunak_pm25_void_window,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 01:00:00,2026-03-03 00:00:00,1,NO2,5.19,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 01:00:00,2026-03-03 00:00:00,1,VOCs,0.66,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 01:00:00,2026-03-03 00:00:00,1,PM2.5,22.48,µg/m³,low_cost_sensor_kunak_apex,,true,kunak_pm25_void_window,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 02:00:00,2026-03-03 01:00:00,1,NO2,4.52,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 02:00:00,2026-03-03 01:00:00,1,VOCs,0.4,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 02:00:00,2026-03-03 01:00:00,1,PM2.5,19,µg/m³,low_cost_sensor_kunak_apex,,true,kunak_pm25_void_window,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 03:00:00,2026-03-03 02:00:00,1,NO2,5.66,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
ashburn-collocated,apex-14,ambiguous,2026-03-03 03:00:00,2026-03-03 02:00:00,1,VOCs,0.62,ppb,low_cost_sensor_kunak_apex,,false,,in_scope,
