report_date,site,row_class,unit,data_cutoff,export_date,excl_n_hours,excl_mean,excl_delta_mean,excl_sd,excl_delta_sd,excl_median,excl_delta_median,excl_p98,excl_delta_p98,retd_n_hours,retd_mean,retd_delta_mean,retd_sd,retd_delta_sd,retd_median,retd_delta_median,retd_p98,retd_delta_p98,deq_mean,deq_sd,deq_median,deq_p98,comparable_to_report,cap_reason,reproduces_at_deq_precision,reproduces_under,pipeline_default_changed,source_caveat,zero_policy_note
2026-08-28,1757 Golf Club,low_cost_sensor,ppm,2026-08-27,2026-08-28,3366,0.198,0.098,0.103,0.003,0.19,0.09,0.44,0.04,3410,0.196,0.096,0.105,0.005,0.19,0.09,0.44,0.04,0.1,0.1,0.1,0.4,yes,,no,closest under zeros retained (diagnostic),no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Belfort Park Dr,low_cost_sensor,ppm,2026-08-27,2026-08-28,2531,0.217,0.117,0.125,0.025,0.2,0.0,0.53,0.03,2534,0.217,0.117,0.125,0.025,0.2,0.0,0.53,0.03,0.1,0.1,0.2,0.5,yes,,no,closest under zeros excluded (pipeline default),no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Broad Run HS,low_cost_sensor,ppm,2026-08-27,2026-08-28,3405,0.203,0.103,0.109,0.009,0.19,-0.01,0.44,0.04,4273,0.162,0.062,0.127,0.027,0.17,-0.03,0.4,0.0,0.1,0.1,0.2,0.4,yes,,no,closest under zeros retained (diagnostic),no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Dulles Airport,low_cost_sensor,ppm,2026-08-27,2026-08-28,4262,0.206,0.106,0.106,0.006,0.19,0.09,0.42,0.02,4273,0.205,0.105,0.106,0.006,0.19,0.09,0.42,0.02,0.1,0.1,0.1,0.4,yes,,no,closest under zeros retained (diagnostic),no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Farmwell Station MS,low_cost_sensor,ppm,2026-08-27,2026-08-28,3400,0.201,0.101,0.106,0.006,0.18,0.08,0.44,0.04,3408,0.2,0.1,0.106,0.006,0.18,0.08,0.44,0.04,0.1,0.1,0.1,0.4,yes,,no,closest under zeros retained (diagnostic),no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Sterling MS,low_cost_sensor,ppm,2026-08-27,2026-08-28,1698,0.194,0.094,0.116,0.016,0.18,0.08,0.481,0.081,1705,0.193,0.093,0.117,0.017,0.18,0.08,0.479,0.079,0.1,0.1,0.1,0.4,yes,,no,closest under zeros retained (diagnostic),no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Arlington Regulatory Monitor,regulatory_fem,ppm,2026-08-10,"n/a, FOIA 26-4646 release",3583,0.252,0.052,0.138,0.038,0.2,0.0,0.6,0.0,3583,0.252,0.052,0.138,0.038,0.2,0.0,0.6,0.0,0.2,0.1,0.2,0.6,no,"Regulatory record ends 2026-08-10 under FOIA 26-4646 while DEQ's published row covers the record through 2026-08-27. The windows cannot be aligned in either direction. Deltas are shown for completeness and are not counted as a reproduction. This monitor is in Arlington, not Loudoun, and is carried out of v1 scope as DEQ's nearest CO comparator. DEQ voided 2026-03-31 to 2026-04-07 at this monitor; 173 of the 192 hours in that window are already excluded by AQS null codes in the released data, and 19 are not.","not applicable, window not comparable",,no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Heritage Farm Museum,low_cost_sensor,ppm,,none,,,,,,,,,,,,,,,,,,,0.2,0.1,0.2,0.4,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Newberry Condo Assoc,low_cost_sensor,ppm,,none,,,,,,,,,,,,,,,,,,,0.2,0.1,0.2,0.5,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Steuart Weller ES,low_cost_sensor,ppm,,none,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.4,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,"UNRESOLVED AVERAGING PERIOD. docs/GENARCH_RULES.md section 4 records the Kunak CO column as an 8-hour average, while DEQ's Table 1 is captioned 'CO Hourly Concentrations' and places the sensor rows beside a 1-hour regulatory monitor. If the sensor column is an 8-hour average, the sensor rows of this table are not the same quantity as the regulatory row. The note predates this export, which is the first to carry a CO column at all, and it has not been reconfirmed against DEQ. Treat every sensor row here as provisional until the averaging period is settled with DEQ.","excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
