report_date,site,row_class,unit,data_cutoff,export_date,excl_n_hours,excl_mean,excl_delta_mean,excl_sd,excl_delta_sd,excl_median,excl_delta_median,excl_p98,excl_delta_p98,retd_n_hours,retd_mean,retd_delta_mean,retd_sd,retd_delta_sd,retd_median,retd_delta_median,retd_p98,retd_delta_p98,deq_mean,deq_sd,deq_median,deq_p98,comparable_to_report,cap_reason,reproduces_at_deq_precision,reproduces_under,pipeline_default_changed,source_caveat,zero_policy_note
2026-08-28,1757 Golf Club,low_cost_sensor,ppb,2026-08-27,2026-08-28,2803,4.656,0.756,4.076,-0.024,3.89,0.89,15.998,0.598,3410,3.827,-0.073,4.102,0.002,2.885,-0.115,15.36,-0.04,3.9,4.1,3.0,15.4,yes,,no,closest under zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Belfort Park Dr,low_cost_sensor,ppb,2026-08-27,2026-08-28,1892,3.596,0.896,3.799,0.199,2.575,1.275,14.822,1.022,2534,2.685,-0.015,3.636,0.036,1.3,0.0,13.81,0.01,2.7,3.6,1.3,13.8,yes,,yes,zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Broad Run HS,low_cost_sensor,ppb,2026-08-27,2026-08-28,3477,4.793,0.893,3.747,-0.153,4.27,1.07,13.495,0.395,4273,3.9,-0.0,3.861,-0.039,3.16,-0.04,13.12,0.02,3.9,3.9,3.2,13.1,yes,,yes,zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Dulles Airport,low_cost_sensor,ppb,2026-08-27,2026-08-28,3639,6.554,0.954,5.186,-0.114,5.57,0.87,20.152,0.752,4273,5.582,-0.018,5.323,0.023,4.72,0.02,19.436,0.036,5.6,5.3,4.7,19.4,yes,,yes,zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Farmwell Station MS,low_cost_sensor,ppb,2026-08-27,2026-08-28,2846,4.672,0.772,3.64,-0.06,4.16,0.86,13.991,1.091,3408,3.901,0.001,3.751,0.051,3.23,-0.07,12.94,0.04,3.9,3.7,3.3,12.9,yes,,no,closest under zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Sterling MS,low_cost_sensor,ppb,2026-08-27,2026-08-28,1465,5.989,0.889,4.044,-0.256,5.34,0.84,15.354,0.754,1705,5.146,0.046,4.289,-0.011,4.53,0.03,14.663,0.063,5.1,4.3,4.5,14.6,yes,,no,closest under zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Broad Run HS Regulatory Monitor,regulatory_fem,ppb,2026-08-10,"n/a, FOIA 26-4646 release",3647,3.504,0.104,3.328,0.128,2.4,0.0,14.2,0.5,3647,3.504,0.104,3.328,0.128,2.4,0.0,14.2,0.5,3.4,3.2,2.4,13.7,no,Regulatory record ends 2026-08-10 under FOIA 26-4646 while DEQ's published row covers the record through 2026-08-27. The windows cannot be aligned in either direction. Deltas are shown for completeness and are not counted as a reproduction.,"not applicable, window not comparable",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Heritage Farm Museum,low_cost_sensor,ppb,,none,,,,,,,,,,,,,,,,,,,2.5,3.1,1.3,10.8,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Newberry Condo Assoc,low_cost_sensor,ppb,,none,,,,,,,,,,,,,,,,,,,4.1,4.1,3.2,15.8,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Steuart Weller ES,low_cost_sensor,ppb,,none,,,,,,,,,,,,,,,,,,,3.0,3.2,2.0,11.4,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
