report_date,site,row_class,unit,data_cutoff,export_date,excl_n_hours,excl_mean,excl_delta_mean,excl_sd,excl_delta_sd,excl_median,excl_delta_median,excl_p98,excl_delta_p98,retd_n_hours,retd_mean,retd_delta_mean,retd_sd,retd_delta_sd,retd_median,retd_delta_median,retd_p98,retd_delta_p98,deq_mean,deq_sd,deq_median,deq_p98,comparable_to_report,cap_reason,reproduces_at_deq_precision,reproduces_under,pipeline_default_changed,source_caveat,zero_policy_note
2026-08-28,1757 Golf Club,low_cost_sensor,ug/m3,2026-08-27,2026-08-28,3376,7.608,0.008,10.204,0.004,5.15,-0.05,29.425,0.025,3410,7.532,-0.068,10.181,-0.019,5.09,-0.11,29.091,-0.309,7.6,10.2,5.2,29.4,yes,,no,closest under zeros excluded (pipeline default),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Belfort Park Dr,low_cost_sensor,ug/m3,2026-08-27,2026-08-28,2502,9.286,-0.014,11.41,0.01,6.57,-0.03,36.42,0.02,2534,9.169,-0.131,11.385,-0.015,6.505,-0.095,36.087,-0.313,9.3,11.4,6.6,36.4,yes,,yes,zeros excluded (pipeline default),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Broad Run HS,low_cost_sensor,ug/m3,2026-08-27,2026-08-28,4105,8.304,0.004,9.131,0.031,6.18,-0.02,28.748,0.048,4130,8.254,-0.046,9.126,0.026,6.135,-0.065,28.608,-0.092,8.3,9.1,6.2,28.7,yes,,yes,zeros excluded (pipeline default),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Dulles Airport,low_cost_sensor,ug/m3,2026-08-27,2026-08-28,4008,5.793,-0.007,7.793,-0.007,3.91,0.01,20.93,0.03,4130,5.622,-0.178,7.74,-0.06,3.77,-0.13,20.646,-0.254,5.8,7.8,3.9,20.9,yes,,yes,zeros excluded (pipeline default),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Farmwell Station MS,low_cost_sensor,ug/m3,2026-08-27,2026-08-28,3369,8.233,0.033,11.343,0.043,5.5,0.0,28.588,0.088,3408,8.139,-0.061,11.312,0.012,5.45,-0.05,28.293,-0.207,8.2,11.3,5.5,28.5,yes,,no,closest under zeros excluded (pipeline default),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Sterling MS,low_cost_sensor,ug/m3,2026-08-27,2026-08-28,1692,10.549,0.049,13.237,0.037,7.735,0.035,54.242,0.642,1705,10.468,-0.032,13.218,0.018,7.69,-0.01,53.956,0.356,10.5,13.2,7.7,53.6,yes,,no,closest under zeros retained (diagnostic),no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Broad Run HS Regulatory Monitor,regulatory_fem,ug/m3,2026-08-10,"n/a, FOIA 26-4646 release",3040,8.44,0.14,17.451,0.851,5.6,-0.2,25.666,2.466,3040,8.44,0.14,17.451,0.851,5.6,-0.2,25.666,2.466,8.3,16.6,5.8,23.2,no,Regulatory record ends 2026-08-10 under FOIA 26-4646 while DEQ's published row covers the record through 2026-08-27. The windows cannot be aligned in either direction. Deltas are shown for completeness and are not counted as a reproduction.,"not applicable, window not comparable",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Heritage Farm Museum,low_cost_sensor,ug/m3,,none,,,,,,,,,,,,,,,,,,,4.2,3.4,3.4,15.6,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Newberry Condo Assoc,low_cost_sensor,ug/m3,,none,,,,,,,,,,,,,,,,,,,5.7,4.3,4.6,18.1,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
2026-08-28,Steuart Weller ES,low_cost_sensor,ug/m3,,none,,,,,,,,,,,,,,,,,,,4.5,3.2,3.7,13.5,no,"Retired site. The Kunak dashboard shows 'Location without device' and no export exists, so this row cannot be checked at all.","not applicable, no export",,no,,"excl_* applies the pipeline default, which drops exact-zero readings (exclusion_reason exact_zero_floor). retd_* readmits them and is a diagnostic column set only: the pipeline default is unchanged and the zeros-retained treatment remains scoped to the APEX 5 NO2 regression per DEQ correspondence of 2026-08-19. Which set reproduces DEQ's published row is pollutant-specific and is recorded in reproduces_under. Hours are truncated by hour-beginning local standard time."
