sep=;
"Location";"Date";"NO2 (ppb)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"1757 Golf Club";"Aug 10, 2026, 23:00:00";"14.14";"225.84";"7.27"
"1757 Golf Club";"Aug 10, 2026, 22:00:00";"11.47";"240.6";"6.14"
"1757 Golf Club";"Aug 10, 2026, 21:00:00";"8.39";"238.61";"5.84"
"1757 Golf Club";"Aug 10, 2026, 20:00:00";"11.17";"215.01";"5.3"
"1757 Golf Club";"Aug 10, 2026, 19:00:00";"15.15";"235.52";"6.71"
"1757 Golf Club";"Aug 10, 2026, 18:00:00";"11.85";"224.43";"8.85"
"1757 Golf Club";"Aug 10, 2026, 17:00:00";"9.03";"129.72";"6.54"
"1757 Golf Club";"Aug 10, 2026, 16:00:00";"1.42";"68.34";"16.49"
"1757 Golf Club";"Aug 10, 2026, 15:00:00";"1.15";"73.54";"17.24"
"1757 Golf Club";"Aug 10, 2026, 14:00:00";"0.13";"76.41";"18.51"
"1757 Golf Club";"Aug 10, 2026, 13:00:00";"0.31";"79.52";"17.97"
"1757 Golf Club";"Aug 10, 2026, 12:00:00";"0";"84.43";"18.33"
"1757 Golf Club";"Aug 10, 2026, 11:00:00";"0";"106.58";"21.36"
"1757 Golf Club";"Aug 10, 2026, 10:00:00";"0.32";"166.04";"15.5"
"1757 Golf Club";"Aug 10, 2026, 09:00:00";"3.09";"205.65";"13.75"
"1757 Golf Club";"Aug 10, 2026, 08:00:00";"7.26";"285.2";"16.25"
"1757 Golf Club";"Aug 10, 2026, 07:00:00";"5.66";"304.11";"18.19"
"1757 Golf Club";"Aug 10, 2026, 06:00:00";"3.17";"268.5";"19.11"
"1757 Golf Club";"Aug 10, 2026, 05:00:00";"2.81";"256.99";"17.6"
"1757 Golf Club";"Aug 10, 2026, 04:00:00";"3.4";"267.96";"19.87"
"1757 Golf Club";"Aug 10, 2026, 03:00:00";"3.16";"244.94";"19.57"
"1757 Golf Club";"Aug 10, 2026, 02:00:00";"3.74";"193.78";"15.45"
"1757 Golf Club";"Aug 10, 2026, 01:00:00";"4.21";"164.38";"14.87"
"1757 Golf Club";"Aug 10, 2026, 00:00:00";"5.12";"117.61";"14.82"
"1757 Golf Club";"Aug 9, 2026, 23:00:00";"6.87";"99.56";"15.39"
