sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Heritage Farm Museum";"Jun 17, 2026, 12:00:00";"2";"1.48";"0.49";"301.15";"0.19"
"Heritage Farm Museum";"Jun 17, 2026, 11:00:00";"3";"3.01";"0.16";"49.76";"0.11"
"Heritage Farm Museum";"Jun 17, 2026, 10:00:00";"7";"7.35";"0.19";"54.07";"0.02"
"Heritage Farm Museum";"Jun 17, 2026, 09:00:00";"9";"9.66";"0.18";"57.91";"0.1"
"Heritage Farm Museum";"Jun 17, 2026, 08:00:00";"10";"10.5";"0.17";"54.55";"0.09"
"Heritage Farm Museum";"Jun 17, 2026, 07:00:00";"8";"8.79";"0.12";"48.36";"0"
"Heritage Farm Museum";"Jun 17, 2026, 06:00:00";"2";"0";"0";"0";"0.02"
"Heritage Farm Museum";"Jun 17, 2026, 05:00:00";"7";"7.76";"0.08";"46.67";"0"
"Heritage Farm Museum";"Jun 17, 2026, 04:00:00";"8";"8.21";"0.09";"44.92";"0"
"Heritage Farm Museum";"Jun 17, 2026, 03:00:00";"8";"8.58";"0.1";"42.4";"0"
"Heritage Farm Museum";"Jun 17, 2026, 02:00:00";"7";"7.95";"0.12";"41.78";"0"
"Heritage Farm Museum";"Jun 17, 2026, 01:00:00";"7";"7.9";"0.13";"41.52";"0"
"Heritage Farm Museum";"Jun 17, 2026, 00:00:00";"8";"8.32";"0.14";"39.78";"0"
"Heritage Farm Museum";"Jun 16, 2026, 23:00:00";"8";"8.43";"0.17";"38.81";"0"
"Heritage Farm Museum";"Jun 16, 2026, 22:00:00";"7";"7.84";"0.17";"37.49";"0"
"Heritage Farm Museum";"Jun 16, 2026, 21:00:00";"6";"6.98";"0.16";"35.5";"0"
"Heritage Farm Museum";"Jun 16, 2026, 20:00:00";"4";"4.6";"0.15";"29.72";"0.05"
"Heritage Farm Museum";"Jun 16, 2026, 19:00:00";"4";"4.4";"0.17";"28.01";"0.05"
"Heritage Farm Museum";"Jun 16, 2026, 18:00:00";"3";"3.08";"0.14";"27.85";"0.21"
"Heritage Farm Museum";"Jun 16, 2026, 17:00:00";"0";"0.98";"0.14";"28.3";"0.04"
"Heritage Farm Museum";"Jun 16, 2026, 16:00:00";"0";"0.9";"0.12";"27.91";"0.08"
"Heritage Farm Museum";"Jun 16, 2026, 15:00:00";"1";"1.51";"0.1";"26.79";"0.13"
"Heritage Farm Museum";"Jun 16, 2026, 14:00:00";"0";"0";"0.11";"29.21";"0.08"
"Heritage Farm Museum";"Jun 16, 2026, 13:00:00";"0";"0.11";"0.09";"28.18";"0.06"
"Heritage Farm Museum";"Jun 16, 2026, 12:00:00";"0";"0.72";"0.05";"30.7";"0.04"
"Heritage Farm Museum";"Jun 16, 2026, 11:00:00";"1";"1.11";"0.03";"32.89";"0.05"
"Heritage Farm Museum";"Jun 16, 2026, 10:00:00";"2";"2.39";"0.05";"34.48";"0"
"Heritage Farm Museum";"Jun 16, 2026, 09:00:00";"6";"6.22";"0.06";"34.5";"0.01"
"Heritage Farm Museum";"Jun 16, 2026, 08:00:00";"9";"9.96";"0.05";"34.07";"0.03"
"Heritage Farm Museum";"Jun 16, 2026, 07:00:00";"10";"10.24";"0.02";"31.16";"0.01"
"Heritage Farm Museum";"Jun 16, 2026, 06:00:00";"8";"8.61";"0";"29.7";"0.01"
"Heritage Farm Museum";"Jun 16, 2026, 05:00:00";"8";"8";"0";"28.84";"0.03"
"Heritage Farm Museum";"Jun 16, 2026, 04:00:00";"8";"8.25";"0.01";"29.16";"0"
"Heritage Farm Museum";"Jun 16, 2026, 03:00:00";"8";"8.89";"0.03";"30.78";"0"
"Heritage Farm Museum";"Jun 16, 2026, 02:00:00";"6";"7";"0.12";"31.94";"0"
"Heritage Farm Museum";"Jun 16, 2026, 01:00:00";"6";"6.73";"0.14";"34.11";"0.02"
"Heritage Farm Museum";"Jun 16, 2026, 00:00:00";"7";"7.58";"0.15";"35.04";"0.02"
"Heritage Farm Museum";"Jun 15, 2026, 23:00:00";"9";"9.7";"0.16";"35.93";"0.09"
"Heritage Farm Museum";"Jun 15, 2026, 22:00:00";"9";"9.07";"0.17";"35.91";"0.17"
"Heritage Farm Museum";"Jun 15, 2026, 21:00:00";"7";"7.72";"0.16";"32.8";"0.13"
"Heritage Farm Museum";"Jun 15, 2026, 20:00:00";"4";"4.52";"0.17";"31.05";"0.11"
"Heritage Farm Museum";"Jun 15, 2026, 19:00:00";"2";"1.26";"0.18";"31.44";"0.15"
"Heritage Farm Museum";"Jun 15, 2026, 18:00:00";"4";"4.85";"0.19";"33.61";"0.13"
"Heritage Farm Museum";"Jun 15, 2026, 17:00:00";"3";"3.06";"0.18";"33.67";"0.11"
"Heritage Farm Museum";"Jun 15, 2026, 16:00:00";"3";"0";"0";"0";"0.11"
"Heritage Farm Museum";"Jun 15, 2026, 15:00:00";"3";"0.16";"0.17";"38.6";"0.11"
"Heritage Farm Museum";"Jun 15, 2026, 14:00:00";"3";"3.49";"0.18";"40.86";"0.08"
"Heritage Farm Museum";"Jun 15, 2026, 13:00:00";"3";"0.3";"0.16";"39.97";"0.14"
"Heritage Farm Museum";"Jun 15, 2026, 12:00:00";"3";"0.86";"0.17";"37.26";"0.18"
"Heritage Farm Museum";"Jun 15, 2026, 11:00:00";"3";"2.1";"0.67";"45.2";"0.24"
"Heritage Farm Museum";"Jun 15, 2026, 10:00:00";"2";"2.16";"0.14";"40.49";"0.12"
"Heritage Farm Museum";"Jun 15, 2026, 09:00:00";"5";"5.32";"0.14";"42.78";"0.16"
"Heritage Farm Museum";"Jun 15, 2026, 08:00:00";"6";"6.32";"0.14";"43.36";"0.06"
"Heritage Farm Museum";"Jun 15, 2026, 07:00:00";"6";"6.21";"0.13";"45.42";"0.06"
"Heritage Farm Museum";"Jun 15, 2026, 06:00:00";"6";"6.26";"0.13";"47.87";"0.05"
"Heritage Farm Museum";"Jun 15, 2026, 05:00:00";"5";"5.54";"0.12";"49.2";"0.04"
"Heritage Farm Museum";"Jun 15, 2026, 04:00:00";"3";"3.53";"0.13";"48.54";"0.04"
"Heritage Farm Museum";"Jun 15, 2026, 03:00:00";"3";"3.32";"0.15";"54.06";"0.02"
"Heritage Farm Museum";"Jun 15, 2026, 02:00:00";"5";"5.32";"0.17";"61.17";"0.03"
"Heritage Farm Museum";"Jun 15, 2026, 01:00:00";"4";"4.58";"0.21";"65.48";"0.13"
"Heritage Farm Museum";"Jun 15, 2026, 00:00:00";"10";"10.69";"0.31";"84.27";"0.28"
"Heritage Farm Museum";"Jun 14, 2026, 23:00:00";"5";"5.42";"0.28";"80.92";"0.2"
"Heritage Farm Museum";"Jun 14, 2026, 22:00:00";"5";"5.12";"0.29";"83.84";"0.28"
"Heritage Farm Museum";"Jun 14, 2026, 21:00:00";"3";"1.99";"0.33";"98.56";"0.51"
"Heritage Farm Museum";"Jun 14, 2026, 20:00:00";"3";"1.92";"0.33";"103.5";"0.38"
"Heritage Farm Museum";"Jun 14, 2026, 19:00:00";"3";"0.23";"0.32";"102.12";"0.3"
"Heritage Farm Museum";"Jun 14, 2026, 18:00:00";"3";"0.05";"0.3";"94.68";"0.45"
"Heritage Farm Museum";"Jun 14, 2026, 17:00:00";"3";"0.05";"0.29";"95.06";"0.25"
"Heritage Farm Museum";"Jun 14, 2026, 16:00:00";"3";"0.2";"0.28";"95.53";"0.47"
"Heritage Farm Museum";"Jun 14, 2026, 15:00:00";"3";"0";"0.25";"90.43";"0.55"
"Heritage Farm Museum";"Jun 14, 2026, 14:00:00";"3";"0";"0.26";"97.45";"0.41"
"Heritage Farm Museum";"Jun 14, 2026, 13:00:00";"3";"0";"0.25";"98.72";"0.5"
"Heritage Farm Museum";"Jun 14, 2026, 12:00:00";"3";"0";"0.24";"92.19";"0.29"
"Heritage Farm Museum";"Jun 14, 2026, 11:00:00";"3";"0.04";"0.26";"89.34";"0.18"
"Heritage Farm Museum";"Jun 14, 2026, 10:00:00";"3";"0.56";"0.27";"92.81";"0.17"
"Heritage Farm Museum";"Jun 14, 2026, 09:00:00";"4";"4.11";"0.3";"96.17";"0.07"
"Heritage Farm Museum";"Jun 14, 2026, 08:00:00";"4";"4.53";"0.28";"91.59";"0"
"Heritage Farm Museum";"Jun 14, 2026, 07:00:00";"5";"5.42";"0.24";"80.46";"0"
"Heritage Farm Museum";"Jun 14, 2026, 06:00:00";"5";"5.97";"0.23";"75.92";"0"
"Heritage Farm Museum";"Jun 14, 2026, 05:00:00";"6";"6.8";"0.26";"74.77";"0"
"Heritage Farm Museum";"Jun 14, 2026, 04:00:00";"7";"7.13";"0.24";"73.69";"0.07"
"Heritage Farm Museum";"Jun 14, 2026, 03:00:00";"6";"6.54";"0.22";"72.15";"0"
"Heritage Farm Museum";"Jun 14, 2026, 02:00:00";"8";"8.84";"0.24";"71.94";"0"
"Heritage Farm Museum";"Jun 14, 2026, 01:00:00";"15";"15.26";"0.27";"69.5";"0"
