sep=;
"Location";"Date";"NO2 (ppb)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Broad Run HS";"Aug 10, 2026, 23:00:00";"8.7";"424.33";"6.79"
"Broad Run HS";"Aug 10, 2026, 22:00:00";"8.09";"412.75";"4.93"
"Broad Run HS";"Aug 10, 2026, 21:00:00";"8.87";"366.9";"5.94"
"Broad Run HS";"Aug 10, 2026, 20:00:00";"10.99";"360.93";"5.5"
"Broad Run HS";"Aug 10, 2026, 19:00:00";"14.45";"339";"5.89"
"Broad Run HS";"Aug 10, 2026, 18:00:00";"14.95";"251.4";"7.13"
"Broad Run HS";"Aug 10, 2026, 17:00:00";"18.14";"109.89";"6.98"
"Broad Run HS";"Aug 10, 2026, 16:00:00";"0.8";"0";"16.86"
"Broad Run HS";"Aug 10, 2026, 15:00:00";"0";"0.36";"18.54"
"Broad Run HS";"Aug 10, 2026, 14:00:00";"0.06";"2.3";"19.9"
"Broad Run HS";"Aug 10, 2026, 13:00:00";"0";"11.82";"21.26"
"Broad Run HS";"Aug 10, 2026, 12:00:00";"0";"26.33";"17.78"
"Broad Run HS";"Aug 10, 2026, 11:00:00";"0";"72.6";"22.32"
"Broad Run HS";"Aug 10, 2026, 10:00:00";"0";"151.99";"18.17"
"Broad Run HS";"Aug 10, 2026, 09:00:00";"2.02";"258.99";"14.44"
"Broad Run HS";"Aug 10, 2026, 08:00:00";"4.69";"354.73";"11.36"
"Broad Run HS";"Aug 10, 2026, 07:00:00";"4.5";"354.81";"12.7"
"Broad Run HS";"Aug 10, 2026, 06:00:00";"2.04";"354.81";"15.44"
"Broad Run HS";"Aug 10, 2026, 05:00:00";"2.66";"358";"15.63"
"Broad Run HS";"Aug 10, 2026, 04:00:00";"3.44";"329.21";"16.24"
"Broad Run HS";"Aug 10, 2026, 03:00:00";"4.29";"268.47";"15.25"
"Broad Run HS";"Aug 10, 2026, 02:00:00";"4.39";"199.66";"14.54"
"Broad Run HS";"Aug 10, 2026, 01:00:00";"4.18";"137.11";"15.2"
"Broad Run HS";"Aug 10, 2026, 00:00:00";"3.73";"117.44";"14.98"
"Broad Run HS";"Aug 9, 2026, 23:00:00";"6.03";"75.5";"15.62"
"Broad Run HS";"Aug 9, 2026, 22:00:00";"5.74";"41.6";"16.26"
"Broad Run HS";"Aug 9, 2026, 21:00:00";"5.38";"16.41";"17.75"
"Broad Run HS";"Aug 9, 2026, 20:00:00";"3.75";"0";"19.65"
"Broad Run HS";"Aug 9, 2026, 19:00:00";"0.82";"0";"20.17"
"Broad Run HS";"Aug 9, 2026, 18:00:00";"0.01";"0";"19.89"
"Broad Run HS";"Aug 9, 2026, 17:00:00";"0.13";"0";"17.92"
"Broad Run HS";"Aug 9, 2026, 16:00:00";"0";"0";"16.64"
"Broad Run HS";"Aug 9, 2026, 15:00:00";"0";"0";"17.5"
"Broad Run HS";"Aug 9, 2026, 14:00:00";"0";"2.95";"18.12"
"Broad Run HS";"Aug 9, 2026, 13:00:00";"0";"24.4";"18.06"
"Broad Run HS";"Aug 9, 2026, 12:00:00";"0";"86.82";"13.79"
"Broad Run HS";"Aug 9, 2026, 11:00:00";"0";"117.81";"12.13"
"Broad Run HS";"Aug 9, 2026, 10:00:00";"0";"161.52";"11.35"
"Broad Run HS";"Aug 9, 2026, 09:00:00";"0.05";"271.51";"8.21"
"Broad Run HS";"Aug 9, 2026, 08:00:00";"1.56";"387.58";"5.95"
"Broad Run HS";"Aug 9, 2026, 07:00:00";"2.99";"406.94";"6.97"
"Broad Run HS";"Aug 9, 2026, 06:00:00";"3.04";"389.62";"6.58"
"Broad Run HS";"Aug 9, 2026, 05:00:00";"3.61";"359.39";"6.35"
"Broad Run HS";"Aug 9, 2026, 04:00:00";"4.29";"309.17";"6.74"
"Broad Run HS";"Aug 9, 2026, 03:00:00";"4.99";"248.77";"7.43"
"Broad Run HS";"Aug 9, 2026, 02:00:00";"4.6";"165.02";"7.7"
"Broad Run HS";"Aug 9, 2026, 01:00:00";"4.91";"126.97";"7.8"
"Broad Run HS";"Aug 9, 2026, 00:00:00";"5.91";"82.65";"7.56"
"Broad Run HS";"Aug 8, 2026, 23:00:00";"5.49";"55.83";"7.9"
"Broad Run HS";"Aug 8, 2026, 22:00:00";"5.29";"38.17";"7.93"
"Broad Run HS";"Aug 8, 2026, 21:00:00";"4.83";"31.29";"8.35"
"Broad Run HS";"Aug 8, 2026, 20:00:00";"3.32";"22.57";"8.9"
"Broad Run HS";"Aug 8, 2026, 19:00:00";"1.44";"7.75";"10.49"
"Broad Run HS";"Aug 8, 2026, 18:00:00";"0.52";"1.95";"11.61"
"Broad Run HS";"Aug 8, 2026, 17:00:00";"1.22";"5.42";"11.83"
"Broad Run HS";"Aug 8, 2026, 16:00:00";"0";"1.99";"12.53"
"Broad Run HS";"Aug 8, 2026, 15:00:00";"0";"6.61";"11.66"
"Broad Run HS";"Aug 8, 2026, 14:00:00";"0.66";"37.8";"7.04"
"Broad Run HS";"Aug 8, 2026, 13:00:00";"0";"52.03";"7.66"
"Broad Run HS";"Aug 8, 2026, 12:00:00";"0";"65";"6.16"
"Broad Run HS";"Aug 8, 2026, 11:00:00";"0";"119.93";"5.15"
