sep=;
"Location";"Date";"NO2 (ppb)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Belfort Park Dr";"Aug 10, 2026, 23:00:00";"18.79";"42.61";"7.75"
"Belfort Park Dr";"Aug 10, 2026, 22:00:00";"13.87";"41.19";"7.36"
"Belfort Park Dr";"Aug 10, 2026, 21:00:00";"6.66";"42.82";"8.9"
"Belfort Park Dr";"Aug 10, 2026, 20:00:00";"9.46";"39.83";"7.96"
"Belfort Park Dr";"Aug 10, 2026, 19:00:00";"9.5";"36.3";"7.6"
"Belfort Park Dr";"Aug 10, 2026, 18:00:00";"8.66";"27.53";"9.39"
"Belfort Park Dr";"Aug 10, 2026, 17:00:00";"5.78";"21.63";"8.4"
"Belfort Park Dr";"Aug 10, 2026, 16:00:00";"0.54";"18.88";"17.11"
"Belfort Park Dr";"Aug 10, 2026, 15:00:00";"0";"18.55";"16.39"
"Belfort Park Dr";"Aug 10, 2026, 14:00:00";"0";"22.75";"17.71"
"Belfort Park Dr";"Aug 10, 2026, 13:00:00";"0";"27.98";"19.62"
"Belfort Park Dr";"Aug 10, 2026, 12:00:00";"0";"30.31";"19.35"
"Belfort Park Dr";"Aug 10, 2026, 11:00:00";"0";"46.34";"22.45"
"Belfort Park Dr";"Aug 10, 2026, 10:00:00";"0.26";"59.37";"19.8"
"Belfort Park Dr";"Aug 10, 2026, 09:00:00";"5.85";"64.67";"14.73"
"Belfort Park Dr";"Aug 10, 2026, 08:00:00";"7.13";"56.35";"12.44"
"Belfort Park Dr";"Aug 10, 2026, 07:00:00";"6.18";"51.37";"17.03"
"Belfort Park Dr";"Aug 10, 2026, 06:00:00";"5.07";"45.69";"17.69"
"Belfort Park Dr";"Aug 10, 2026, 05:00:00";"2.35";"40.06";"16.39"
"Belfort Park Dr";"Aug 10, 2026, 04:00:00";"2.25";"37.91";"16.92"
"Belfort Park Dr";"Aug 10, 2026, 03:00:00";"2.95";"36.96";"17.05"
"Belfort Park Dr";"Aug 10, 2026, 02:00:00";"4.74";"36.79";"16.24"
"Belfort Park Dr";"Aug 10, 2026, 01:00:00";"10.47";"34.55";"16.73"
"Belfort Park Dr";"Aug 10, 2026, 00:00:00";"9.82";"33.08";"16.76"
"Belfort Park Dr";"Aug 9, 2026, 23:00:00";"19.98";"34.19";"17.21"
"Belfort Park Dr";"Aug 9, 2026, 22:00:00";"7.62";"30.33";"17.36"
"Belfort Park Dr";"Aug 9, 2026, 21:00:00";"1.5";"27.7";"17.72"
"Belfort Park Dr";"Aug 9, 2026, 20:00:00";"0.6";"23.48";"18.83"
"Belfort Park Dr";"Aug 9, 2026, 19:00:00";"1.13";"15.95";"18.62"
"Belfort Park Dr";"Aug 9, 2026, 18:00:00";"0.42";"9.2";"18.33"
"Belfort Park Dr";"Aug 9, 2026, 17:00:00";"0";"9.45";"15.69"
"Belfort Park Dr";"Aug 9, 2026, 16:00:00";"0";"13.09";"13.61"
"Belfort Park Dr";"Aug 9, 2026, 15:00:00";"0";"15.18";"14.82"
"Belfort Park Dr";"Aug 9, 2026, 14:00:00";"0";"29.22";"15.06"
"Belfort Park Dr";"Aug 9, 2026, 13:00:00";"0";"47.94";"15.18"
"Belfort Park Dr";"Aug 9, 2026, 12:00:00";"0";"48.67";"13.16"
"Belfort Park Dr";"Aug 9, 2026, 11:00:00";"0";"63.75";"12.93"
"Belfort Park Dr";"Aug 9, 2026, 10:00:00";"0";"74.14";"11.55"
"Belfort Park Dr";"Aug 9, 2026, 09:00:00";"2.15";"80.11";"8.14"
"Belfort Park Dr";"Aug 9, 2026, 08:00:00";"4.76";"69.56";"6.92"
"Belfort Park Dr";"Aug 9, 2026, 07:00:00";"3.45";"62.27";"7.04"
"Belfort Park Dr";"Aug 9, 2026, 06:00:00";"6.65";"52.45";"6.91"
"Belfort Park Dr";"Aug 9, 2026, 05:00:00";"5.21";"52.73";"6.38"
"Belfort Park Dr";"Aug 9, 2026, 04:00:00";"6.29";"40.31";"7.06"
"Belfort Park Dr";"Aug 9, 2026, 03:00:00";"3.43";"38.3";"7.1"
"Belfort Park Dr";"Aug 9, 2026, 02:00:00";"5.13";"37.65";"6.9"
"Belfort Park Dr";"Aug 9, 2026, 01:00:00";"17.62";"37.44";"6.67"
"Belfort Park Dr";"Aug 9, 2026, 00:00:00";"24.4";"39.28";"7.43"
"Belfort Park Dr";"Aug 8, 2026, 23:00:00";"20.46";"39.84";"7.82"
"Belfort Park Dr";"Aug 8, 2026, 22:00:00";"13.83";"37.66";"7.94"
"Belfort Park Dr";"Aug 8, 2026, 21:00:00";"10.26";"35.36";"7.79"
"Belfort Park Dr";"Aug 8, 2026, 20:00:00";"3.7";"38.83";"8.29"
"Belfort Park Dr";"Aug 8, 2026, 19:00:00";"0.04";"38.36";"9.18"
"Belfort Park Dr";"Aug 8, 2026, 18:00:00";"0";"40.69";"9.78"
"Belfort Park Dr";"Aug 8, 2026, 17:00:00";"1.01";"51.17";"10.66"
"Belfort Park Dr";"Aug 8, 2026, 16:00:00";"0.16";"44.84";"11.55"
"Belfort Park Dr";"Aug 8, 2026, 15:00:00";"0";"49.79";"10.71"
"Belfort Park Dr";"Aug 8, 2026, 14:00:00";"0";"59.62";"7.74"
"Belfort Park Dr";"Aug 8, 2026, 13:00:00";"0";"63.28";"7.39"
"Belfort Park Dr";"Aug 8, 2026, 12:00:00";"0";"65.14";"6.03"
"Belfort Park Dr";"Aug 8, 2026, 11:00:00";"0.01";"81.97";"4.95"
"Belfort Park Dr";"Aug 8, 2026, 10:00:00";"1.11";"110.36";"4.38"
"Belfort Park Dr";"Aug 8, 2026, 09:00:00";"5.73";"91.48";"3.58"
"Belfort Park Dr";"Aug 8, 2026, 08:00:00";"11.88";"82.31";"3.99"
"Belfort Park Dr";"Aug 8, 2026, 07:00:00";"5.05";"72.42";"6.16"
"Belfort Park Dr";"Aug 8, 2026, 06:00:00";"2.99";"72.13";"5.33"
"Belfort Park Dr";"Aug 8, 2026, 05:00:00";"3.35";"69.72";"4.06"
"Belfort Park Dr";"Aug 8, 2026, 04:00:00";"9.29";"69.49";"3.51"
"Belfort Park Dr";"Aug 8, 2026, 03:00:00";"5.95";"61.57";"3.45"
"Belfort Park Dr";"Aug 8, 2026, 02:00:00";"8.95";"54.18";"3.17"
"Belfort Park Dr";"Aug 8, 2026, 01:00:00";"15.3";"57.33";"3.07"
"Belfort Park Dr";"Aug 8, 2026, 00:00:00";"12.49";"50.92";"4.08"
"Belfort Park Dr";"Aug 7, 2026, 23:00:00";"6.54";"48.33";"3.38"
"Belfort Park Dr";"Aug 7, 2026, 22:00:00";"11.76";"47.04";"2.53"
"Belfort Park Dr";"Aug 7, 2026, 21:00:00";"14.6";"59.24";"3.11"
"Belfort Park Dr";"Aug 7, 2026, 20:00:00";"3.54";"74.33";"3.66"
"Belfort Park Dr";"Aug 7, 2026, 19:00:00";"0.58";"84.03";"4.12"
"Belfort Park Dr";"Aug 7, 2026, 18:00:00";"0.04";"80.1";"5.6"
"Belfort Park Dr";"Aug 7, 2026, 17:00:00";"0.12";"76.82";"5.32"
"Belfort Park Dr";"Aug 7, 2026, 16:00:00";"0.47";"62.28";"5.05"
"Belfort Park Dr";"Aug 7, 2026, 15:00:00";"0";"67.53";"5.61"
"Belfort Park Dr";"Aug 7, 2026, 14:00:00";"0";"75.29";"4.79"
"Belfort Park Dr";"Aug 7, 2026, 13:00:00";"0";"74.37";"4.24"
"Belfort Park Dr";"Aug 7, 2026, 12:00:00";"0";"111.45";"4.6"
"Belfort Park Dr";"Aug 7, 2026, 11:00:00";"0.25";"125.16";"4.25"
"Belfort Park Dr";"Aug 7, 2026, 10:00:00";"6.19";"111.55";"4.29"
"Belfort Park Dr";"Aug 7, 2026, 09:00:00";"9.99";"100.73";"3.35"
"Belfort Park Dr";"Aug 7, 2026, 08:00:00";"6.95";"92.86";"3.84"
"Belfort Park Dr";"Aug 7, 2026, 07:00:00";"5.51";"78.92";"8.12"
"Belfort Park Dr";"Aug 7, 2026, 06:00:00";"4.9";"78.77";"6.35"
"Belfort Park Dr";"Aug 7, 2026, 05:00:00";"3.52";"76.82";"4.47"
"Belfort Park Dr";"Aug 7, 2026, 04:00:00";"3.51";"76.32";"3.55"
"Belfort Park Dr";"Aug 7, 2026, 03:00:00";"4.6";"76.31";"4.27"
"Belfort Park Dr";"Aug 7, 2026, 02:00:00";"4.34";"78.12";"5.31"
"Belfort Park Dr";"Aug 7, 2026, 01:00:00";"5.92";"76.84";"5.68"
"Belfort Park Dr";"Aug 7, 2026, 00:00:00";"7.89";"73.93";"5.12"
"Belfort Park Dr";"Aug 6, 2026, 23:00:00";"8.23";"66.42";"3.63"
"Belfort Park Dr";"Aug 6, 2026, 22:00:00";"10.86";"65.45";"2.6"
"Belfort Park Dr";"Aug 6, 2026, 21:00:00";"7.4";"66.79";"2.91"
"Belfort Park Dr";"Aug 6, 2026, 20:00:00";"8.34";"68.18";"6.8"
"Belfort Park Dr";"Aug 6, 2026, 19:00:00";"4.07";"87.11";"6.3"
"Belfort Park Dr";"Aug 6, 2026, 18:00:00";"3.66";"89.04";"5.16"
"Belfort Park Dr";"Aug 6, 2026, 17:00:00";"9.19";"75.01";"5.18"
"Belfort Park Dr";"Aug 6, 2026, 16:00:00";"7.5";"62.84";"4.44"
"Belfort Park Dr";"Aug 6, 2026, 15:00:00";"0";"71.34";"10.17"
"Belfort Park Dr";"Aug 6, 2026, 14:00:00";"0.06";"83.01";"11.02"
"Belfort Park Dr";"Aug 6, 2026, 13:00:00";"0";"100.4";"10.78"
"Belfort Park Dr";"Aug 6, 2026, 12:00:00";"0";"125.04";"11.99"
"Belfort Park Dr";"Aug 6, 2026, 11:00:00";"0";"142.44";"11.44"
"Belfort Park Dr";"Aug 6, 2026, 10:00:00";"0";"133.62";"10.8"
"Belfort Park Dr";"Aug 6, 2026, 09:00:00";"0.88";"109.53";"10.45"
"Belfort Park Dr";"Aug 6, 2026, 08:00:00";"6.49";"92.68";"9.73"
"Belfort Park Dr";"Aug 6, 2026, 07:00:00";"5.81";"84.05";"10.8"
"Belfort Park Dr";"Aug 6, 2026, 06:00:00";"3.45";"81.86";"10.18"
"Belfort Park Dr";"Aug 6, 2026, 05:00:00";"2.55";"77.69";"10.61"
"Belfort Park Dr";"Aug 6, 2026, 04:00:00";"1.25";"76.23";"10.35"
"Belfort Park Dr";"Aug 6, 2026, 03:00:00";"2.53";"71.03";"10.51"
"Belfort Park Dr";"Aug 6, 2026, 02:00:00";"2.49";"71.67";"10.41"
"Belfort Park Dr";"Aug 6, 2026, 01:00:00";"4.68";"68.78";"10.73"
"Belfort Park Dr";"Aug 6, 2026, 00:00:00";"4.28";"68.2";"11.51"
"Belfort Park Dr";"Aug 5, 2026, 23:00:00";"3.09";"65.81";"10.51"
"Belfort Park Dr";"Aug 5, 2026, 22:00:00";"5.06";"65.17";"9.94"
"Belfort Park Dr";"Aug 5, 2026, 21:00:00";"0.36";"72.72";"4.42"
"Belfort Park Dr";"Aug 5, 2026, 20:00:00";"1.13";"75.62";"2.79"
"Belfort Park Dr";"Aug 5, 2026, 19:00:00";"0.04";"86.84";"2.1"
"Belfort Park Dr";"Aug 5, 2026, 18:00:00";"0";"99.85";"1.35"
"Belfort Park Dr";"Aug 5, 2026, 17:00:00";"0";"112.7";"1.47"
"Belfort Park Dr";"Aug 5, 2026, 16:00:00";"0.1";"97.91";"1.84"
"Belfort Park Dr";"Aug 5, 2026, 15:00:00";"3.48";"82.88";"2.66"
"Belfort Park Dr";"Aug 5, 2026, 14:00:00";"0.42";"85.7";"1.94"
