sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Camp William B Synder";"Sep 19, 2026, 23:00:00";"23";"5.17";"0.14";"0";"3.86"
"Camp William B Synder";"Sep 19, 2026, 22:00:00";"24";"5.27";"0.16";"0";"4.2"
"Camp William B Synder";"Sep 19, 2026, 21:00:00";"24";"5.56";"0.17";"0";"4.24"
"Camp William B Synder";"Sep 19, 2026, 20:00:00";"25";"5.97";"0.17";"0";"4.33"
"Camp William B Synder";"Sep 19, 2026, 19:00:00";"26";"5.88";"0.16";"0";"4.6"
"Camp William B Synder";"Sep 19, 2026, 18:00:00";"27";"6";"0.17";"0";"4.33"
"Camp William B Synder";"Sep 19, 2026, 17:00:00";"29";"5.43";"0.16";"0";"4.84"
"Camp William B Synder";"Sep 19, 2026, 16:00:00";"30";"4.11";"0.17";"0";"5.54"
"Camp William B Synder";"Sep 19, 2026, 15:00:00";"29";"1.67";"0.17";"0";"5.98"
"Camp William B Synder";"Sep 19, 2026, 14:00:00";"25";"0.71";"0.17";"0";"5.68"
"Camp William B Synder";"Sep 19, 2026, 13:00:00";"18";"1.03";"0.16";"0";"3.67"
"Camp William B Synder";"Sep 19, 2026, 12:00:00";"15";"1.62";"0.13";"0";"2.92"
"Camp William B Synder";"Sep 19, 2026, 11:00:00";"15";"2.34";"0.11";"0";"2.78"
"Camp William B Synder";"Sep 19, 2026, 10:00:00";"14";"2.63";"0.1";"0.07";"2.53"
"Camp William B Synder";"Sep 19, 2026, 09:00:00";"15";"3";"0.08";"1.92";"2.49"
"Camp William B Synder";"Sep 19, 2026, 08:00:00";"15";"3.04";"0.08";"1.43";"2.6"
"Camp William B Synder";"Sep 19, 2026, 07:00:00";"16";"2.07";"0.08";"1.15";"2.6"
"Camp William B Synder";"Sep 19, 2026, 06:00:00";"17";"2.35";"0.08";"0.03";"2.71"
"Camp William B Synder";"Sep 19, 2026, 05:00:00";"19";"2.78";"0.09";"2";"2.76"
