sep=;
"Location";"Date";"NO2 (ppb)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Dulles Airport";"Aug 10, 2026, 23:00:00";"19.27";"387.35";"7.26"
"Dulles Airport";"Aug 10, 2026, 22:00:00";"18.64";"348.49";"7.95"
"Dulles Airport";"Aug 10, 2026, 21:00:00";"11.73";"323.95";"8.61"
"Dulles Airport";"Aug 10, 2026, 20:00:00";"15.49";"325.56";"6.78"
"Dulles Airport";"Aug 10, 2026, 19:00:00";"14.85";"263.7";"7.43"
"Dulles Airport";"Aug 10, 2026, 18:00:00";"10.48";"185.73";"9.62"
"Dulles Airport";"Aug 10, 2026, 17:00:00";"13.81";"68.67";"7.96"
"Dulles Airport";"Aug 10, 2026, 16:00:00";"0.08";"28.11";"13.65"
"Dulles Airport";"Aug 10, 2026, 15:00:00";"0";"25.07";"13.76"
"Dulles Airport";"Aug 10, 2026, 14:00:00";"0";"27.38";"13.53"
"Dulles Airport";"Aug 10, 2026, 13:00:00";"0";"41.33";"14.78"
"Dulles Airport";"Aug 10, 2026, 12:00:00";"0";"54.51";"16.03"
"Dulles Airport";"Aug 10, 2026, 11:00:00";"0";"104.45";"17.13"
"Dulles Airport";"Aug 10, 2026, 10:00:00";"0.1";"242.58";"11.85"
"Dulles Airport";"Aug 10, 2026, 09:00:00";"5.53";"514.49";"11.37"
"Dulles Airport";"Aug 10, 2026, 08:00:00";"5.67";"513.65";"17.52"
"Dulles Airport";"Aug 10, 2026, 07:00:00";"3.87";"411.6";"0"
"Dulles Airport";"Aug 10, 2026, 06:00:00";"2.76";"362.41";"0"
"Dulles Airport";"Aug 10, 2026, 05:00:00";"3.52";"355.98";"0"
"Dulles Airport";"Aug 10, 2026, 04:00:00";"5.1";"336";"0"
"Dulles Airport";"Aug 10, 2026, 03:00:00";"7.84";"325.98";"0"
"Dulles Airport";"Aug 10, 2026, 02:00:00";"8.13";"291.5";"15.07"
"Dulles Airport";"Aug 10, 2026, 01:00:00";"14.95";"257.57";"15.05"
"Dulles Airport";"Aug 10, 2026, 00:00:00";"10.77";"213.93";"13.85"
"Dulles Airport";"Aug 9, 2026, 23:00:00";"16.2";"155.17";"14.01"
"Dulles Airport";"Aug 9, 2026, 22:00:00";"14.06";"98.53";"11.99"
"Dulles Airport";"Aug 9, 2026, 21:00:00";"6.57";"66.07";"11.2"
"Dulles Airport";"Aug 9, 2026, 20:00:00";"2.67";"49.02";"12.09"
"Dulles Airport";"Aug 9, 2026, 19:00:00";"0";"17.73";"13.25"
"Dulles Airport";"Aug 9, 2026, 18:00:00";"0";"11.32";"14.14"
"Dulles Airport";"Aug 9, 2026, 17:00:00";"0";"4.85";"13.14"
"Dulles Airport";"Aug 9, 2026, 16:00:00";"0";"2.78";"11.66"
"Dulles Airport";"Aug 9, 2026, 15:00:00";"0";"7.14";"12.59"
"Dulles Airport";"Aug 9, 2026, 14:00:00";"0";"28.69";"12.18"
"Dulles Airport";"Aug 9, 2026, 13:00:00";"0";"57.71";"11.95"
"Dulles Airport";"Aug 9, 2026, 12:00:00";"0";"101.73";"9.37"
"Dulles Airport";"Aug 9, 2026, 11:00:00";"0";"158.67";"7.56"
"Dulles Airport";"Aug 9, 2026, 10:00:00";"0";"257.62";"6.87"
"Dulles Airport";"Aug 9, 2026, 09:00:00";"0.4";"492.01";"5.77"
"Dulles Airport";"Aug 9, 2026, 08:00:00";"7.37";"620.41";"6.62"
"Dulles Airport";"Aug 9, 2026, 07:00:00";"6.31";"537.97";"8.74"
"Dulles Airport";"Aug 9, 2026, 06:00:00";"2.03";"467.88";"8.47"
"Dulles Airport";"Aug 9, 2026, 05:00:00";"6.13";"414.57";"8.31"
"Dulles Airport";"Aug 9, 2026, 04:00:00";"8.21";"334.8";"10.09"
"Dulles Airport";"Aug 9, 2026, 03:00:00";"9.94";"293.53";"8.75"
"Dulles Airport";"Aug 9, 2026, 02:00:00";"10.36";"262.44";"6.59"
"Dulles Airport";"Aug 9, 2026, 01:00:00";"17.48";"211.35";"5.08"
"Dulles Airport";"Aug 9, 2026, 00:00:00";"19.57";"167.93";"4.71"
"Dulles Airport";"Aug 8, 2026, 23:00:00";"12.59";"146.35";"4.81"
"Dulles Airport";"Aug 8, 2026, 22:00:00";"15.21";"112.23";"4.68"
"Dulles Airport";"Aug 8, 2026, 21:00:00";"19.1";"75";"5.05"
"Dulles Airport";"Aug 8, 2026, 20:00:00";"14.48";"44.75";"5.58"
"Dulles Airport";"Aug 8, 2026, 19:00:00";"0.32";"35.19";"6.43"
"Dulles Airport";"Aug 8, 2026, 18:00:00";"0";"36.92";"6.82"
"Dulles Airport";"Aug 8, 2026, 17:00:00";"3.46";"68.25";"6.67"
"Dulles Airport";"Aug 8, 2026, 16:00:00";"0.25";"40.43";"8.47"
"Dulles Airport";"Aug 8, 2026, 15:00:00";"0";"37.08";"8.97"
"Dulles Airport";"Aug 8, 2026, 14:00:00";"0";"57.16";"6.11"
"Dulles Airport";"Aug 8, 2026, 13:00:00";"0";"79.24";"5.71"
"Dulles Airport";"Aug 8, 2026, 12:00:00";"0";"127.76";"3.89"
"Dulles Airport";"Aug 8, 2026, 11:00:00";"0";"221.63";"3.14"
"Dulles Airport";"Aug 8, 2026, 10:00:00";"4.66";"496.13";"2.79"
"Dulles Airport";"Aug 8, 2026, 09:00:00";"6.48";"706.77";"3.65"
"Dulles Airport";"Aug 8, 2026, 08:00:00";"8.66";"659.87";"0"
"Dulles Airport";"Aug 8, 2026, 07:00:00";"5.44";"451.68";"0"
"Dulles Airport";"Aug 8, 2026, 06:00:00";"4.62";"454.11";"0"
"Dulles Airport";"Aug 8, 2026, 05:00:00";"1.73";"434.33";"0"
"Dulles Airport";"Aug 8, 2026, 04:00:00";"5.6";"451.47";"6.43"
"Dulles Airport";"Aug 8, 2026, 03:00:00";"14.21";"425.66";"6.08"
"Dulles Airport";"Aug 8, 2026, 02:00:00";"11.47";"436.25";"4.44"
"Dulles Airport";"Aug 8, 2026, 01:00:00";"15.8";"414.85";"3.53"
"Dulles Airport";"Aug 8, 2026, 00:00:00";"21.98";"404.5";"4.35"
"Dulles Airport";"Aug 7, 2026, 23:00:00";"10.66";"284.19";"3.66"
"Dulles Airport";"Aug 7, 2026, 22:00:00";"15.15";"183.93";"1.85"
"Dulles Airport";"Aug 7, 2026, 21:00:00";"17.68";"143.32";"2.38"
"Dulles Airport";"Aug 7, 2026, 20:00:00";"3.72";"149.06";"2.79"
"Dulles Airport";"Aug 7, 2026, 19:00:00";"4.01";"131.43";"3.44"
"Dulles Airport";"Aug 7, 2026, 18:00:00";"0.22";"96.03";"3.92"
"Dulles Airport";"Aug 7, 2026, 17:00:00";"0.04";"78.01";"3.55"
"Dulles Airport";"Aug 7, 2026, 16:00:00";"0.65";"60.33";"3.91"
"Dulles Airport";"Aug 7, 2026, 15:00:00";"0";"70.6";"4.04"
"Dulles Airport";"Aug 7, 2026, 14:00:00";"0";"68.55";"3.3"
"Dulles Airport";"Aug 7, 2026, 13:00:00";"0";"105.39";"3.25"
"Dulles Airport";"Aug 7, 2026, 12:00:00";"0";"170.73";"3.06"
"Dulles Airport";"Aug 7, 2026, 11:00:00";"0";"316.03";"2.94"
"Dulles Airport";"Aug 7, 2026, 10:00:00";"8.26";"572.83";"2.5"
"Dulles Airport";"Aug 7, 2026, 09:00:00";"14.18";"710.27";"3.27"
