sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Evergreen Country Club";"Sep 19, 2026, 23:00:00";"20";"3.56";"0.21";"429.34";"3.51"
"Evergreen Country Club";"Sep 19, 2026, 22:00:00";"20";"3.41";"0.19";"400.4";"3.46"
"Evergreen Country Club";"Sep 19, 2026, 21:00:00";"20";"3.84";"0.2";"337.83";"3.42"
"Evergreen Country Club";"Sep 19, 2026, 20:00:00";"20";"5.18";"0.2";"234.01";"3.52"
"Evergreen Country Club";"Sep 19, 2026, 19:00:00";"22";"5.4";"0.21";"203.92";"3.68"
"Evergreen Country Club";"Sep 19, 2026, 18:00:00";"23";"5.75";"0.19";"178.35";"3.68"
"Evergreen Country Club";"Sep 19, 2026, 17:00:00";"24";"5.61";"0.18";"161.27";"4.25"
"Evergreen Country Club";"Sep 19, 2026, 16:00:00";"25";"5.43";"0.18";"145.56";"4.62"
"Evergreen Country Club";"Sep 19, 2026, 15:00:00";"24";"3.67";"0.18";"134.35";"5.14"
"Evergreen Country Club";"Sep 19, 2026, 14:00:00";"18";"0.67";"0.19";"122.03";"3.89"
"Evergreen Country Club";"Sep 19, 2026, 13:00:00";"14";"0.52";"0.18";"106.92";"3.13"
"Evergreen Country Club";"Sep 19, 2026, 12:00:00";"12";"1.44";"0.15";"121.65";"2.38"
"Evergreen Country Club";"Sep 19, 2026, 11:00:00";"11";"2.02";"0.13";"138.42";"1.99"
"Evergreen Country Club";"Sep 19, 2026, 10:00:00";"10";"2.22";"0.11";"163.38";"1.89"
"Evergreen Country Club";"Sep 19, 2026, 09:00:00";"10";"2.79";"0.1";"162.63";"1.73"
"Evergreen Country Club";"Sep 19, 2026, 08:00:00";"11";"2.45";"0.1";"161.86";"1.86"
"Evergreen Country Club";"Sep 19, 2026, 07:00:00";"12";"2.31";"0.09";"179.32";"1.95"
"Evergreen Country Club";"Sep 19, 2026, 06:00:00";"12";"2.1";"0.09";"191.49";"1.82"
"Evergreen Country Club";"Sep 19, 2026, 05:00:00";"13";"2.59";"0.09";"208.85";"1.93"
"Evergreen Country Club";"Sep 19, 2026, 04:00:00";"13";"2.66";"0.09";"250.88";"2.21"
"Evergreen Country Club";"Sep 19, 2026, 03:00:00";"14";"2.66";"0.1";"266.99";"2.36"
"Evergreen Country Club";"Sep 19, 2026, 02:00:00";"14";"3.2";"0.12";"300.8";"2.48"
"Evergreen Country Club";"Sep 19, 2026, 01:00:00";"14";"2.42";"0.12";"314.96";"2.9"
"Evergreen Country Club";"Sep 19, 2026, 00:00:00";"13";"3.8";"0.13";"306.19";"2.41"
"Evergreen Country Club";"Sep 18, 2026, 23:00:00";"13";"2.39";"0.13";"363.56";"2.35"
"Evergreen Country Club";"Sep 18, 2026, 22:00:00";"12";"3.46";"0.13";"292.13";"1.94"
"Evergreen Country Club";"Sep 18, 2026, 21:00:00";"13";"2.76";"0.15";"367.17";"1.84"
"Evergreen Country Club";"Sep 18, 2026, 20:00:00";"15";"1.75";"0.18";"475.77";"2.86"
"Evergreen Country Club";"Sep 18, 2026, 19:00:00";"14";"2.74";"0.16";"380.64";"2.55"
"Evergreen Country Club";"Sep 18, 2026, 18:00:00";"13";"1.79";"0.17";"361.77";"2.29"
"Evergreen Country Club";"Sep 18, 2026, 17:00:00";"13";"1.77";"0.16";"298.2";"2.23"
"Evergreen Country Club";"Sep 18, 2026, 16:00:00";"14";"1.63";"0.15";"275.34";"2.44"
"Evergreen Country Club";"Sep 18, 2026, 15:00:00";"15";"2.08";"0.15";"254.72";"2.42"
"Evergreen Country Club";"Sep 18, 2026, 14:00:00";"16";"0.97";"0.11";"202.66";"2.51"
"Evergreen Country Club";"Sep 18, 2026, 13:00:00";"18";"0.14";"0.11";"194.03";"2.54"
"Evergreen Country Club";"Sep 18, 2026, 12:00:00";"23";"0.2";"0.12";"268.73";"3.34"
"Evergreen Country Club";"Sep 18, 2026, 11:00:00";"27";"0.14";"0.14";"407.15";"3.86"
"Evergreen Country Club";"Sep 18, 2026, 10:00:00";"32";"0.75";"0.14";"582.97";"5.51"
"Evergreen Country Club";"Sep 18, 2026, 09:00:00";"32";"1.37";"0.14";"726.45";"4.71"
"Evergreen Country Club";"Sep 18, 2026, 08:00:00";"38";"3.48";"0.12";"840.6";"5.44"
"Evergreen Country Club";"Sep 18, 2026, 07:00:00";"45";"3.3";"0.15";"900.14";"6.72"
"Evergreen Country Club";"Sep 18, 2026, 06:00:00";"51";"0.79";"0.11";"838.09";"10.52"
"Evergreen Country Club";"Sep 18, 2026, 05:00:00";"45";"2.26";"0.12";"765.83";"8.82"
"Evergreen Country Club";"Sep 18, 2026, 04:00:00";"42";"3.6";"0.13";"680.08";"7.36"
"Evergreen Country Club";"Sep 18, 2026, 03:00:00";"42";"3.5";"0.12";"649.26";"7.39"
"Evergreen Country Club";"Sep 18, 2026, 02:00:00";"43";"3.87";"0.11";"620.43";"7.83"
"Evergreen Country Club";"Sep 18, 2026, 01:00:00";"42";"4.5";"0.12";"652.04";"7.43"
"Evergreen Country Club";"Sep 18, 2026, 00:00:00";"42";"3.33";"0.11";"735.58";"7.02"
"Evergreen Country Club";"Sep 17, 2026, 23:00:00";"44";"5.02";"0.12";"1027.19";"7.31"
"Evergreen Country Club";"Sep 17, 2026, 22:00:00";"48";"3.2";"0.08";"1064.32";"10.68"
"Evergreen Country Club";"Sep 17, 2026, 21:00:00";"36";"6.61";"0.08";"1084.04";"6.24"
"Evergreen Country Club";"Sep 17, 2026, 20:00:00";"38";"6.74";"0.09";"1119";"5.79"
"Evergreen Country Club";"Sep 17, 2026, 19:00:00";"43";"6.66";"0.13";"1216.06";"6.14"
"Evergreen Country Club";"Sep 17, 2026, 18:00:00";"51";"7.48";"0.13";"1179.2";"7.81"
"Evergreen Country Club";"Sep 17, 2026, 17:00:00";"54";"7.74";"0.12";"1032.42";"10.35"
"Evergreen Country Club";"Sep 17, 2026, 16:00:00";"54";"8.07";"0.11";"855.41";"12.14"
"Evergreen Country Club";"Sep 17, 2026, 15:00:00";"50";"9.19";"0.1";"483.85";"12.44"
"Evergreen Country Club";"Sep 17, 2026, 14:00:00";"32";"0.1";"0.19";"264.64";"6.67"
"Evergreen Country Club";"Sep 17, 2026, 13:00:00";"27";"3.42";"0.34";"229.8";"5.16"
