sep=;
"Location";"Date";"NO2 (ppb)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Farmwell Station MS";"Aug 10, 2026, 23:00:00";"6.23";"54.81";"9.09"
"Farmwell Station MS";"Aug 10, 2026, 22:00:00";"6.07";"56.01";"7.48"
"Farmwell Station MS";"Aug 10, 2026, 21:00:00";"6.07";"47.27";"8.4"
"Farmwell Station MS";"Aug 10, 2026, 20:00:00";"7.91";"38.85";"7.83"
"Farmwell Station MS";"Aug 10, 2026, 19:00:00";"9.66";"37.65";"8.65"
"Farmwell Station MS";"Aug 10, 2026, 18:00:00";"9.45";"28.93";"8.15"
"Farmwell Station MS";"Aug 10, 2026, 17:00:00";"11.92";"2.63";"7.29"
"Farmwell Station MS";"Aug 10, 2026, 16:00:00";"4.24";"0";"12.98"
"Farmwell Station MS";"Aug 10, 2026, 15:00:00";"1.72";"0";"15.3"
"Farmwell Station MS";"Aug 10, 2026, 14:00:00";"1.02";"0";"17.2"
"Farmwell Station MS";"Aug 10, 2026, 13:00:00";"2.3";"0";"18.56"
"Farmwell Station MS";"Aug 10, 2026, 12:00:00";"0.01";"0";"14.97"
"Farmwell Station MS";"Aug 10, 2026, 11:00:00";"0";"0";"21.45"
"Farmwell Station MS";"Aug 10, 2026, 10:00:00";"0";"0";"22.49"
"Farmwell Station MS";"Aug 10, 2026, 09:00:00";"0.73";"0";"16.63"
"Farmwell Station MS";"Aug 10, 2026, 08:00:00";"4.01";"39.86";"13.74"
"Farmwell Station MS";"Aug 10, 2026, 07:00:00";"3.59";"63.53";"14.29"
"Farmwell Station MS";"Aug 10, 2026, 06:00:00";"1.52";"59.66";"15.66"
"Farmwell Station MS";"Aug 10, 2026, 05:00:00";"2.23";"56.04";"15.5"
"Farmwell Station MS";"Aug 10, 2026, 04:00:00";"1.77";"45.45";"15.57"
"Farmwell Station MS";"Aug 10, 2026, 03:00:00";"2.05";"31";"16.06"
"Farmwell Station MS";"Aug 10, 2026, 02:00:00";"2.35";"2.93";"15.36"
"Farmwell Station MS";"Aug 10, 2026, 01:00:00";"2.5";"0";"14.98"
"Farmwell Station MS";"Aug 10, 2026, 00:00:00";"2.96";"0";"15.03"
"Farmwell Station MS";"Aug 9, 2026, 23:00:00";"3.63";"0";"14.98"
"Farmwell Station MS";"Aug 9, 2026, 22:00:00";"4.58";"0";"16.35"
"Farmwell Station MS";"Aug 9, 2026, 21:00:00";"5.29";"0";"16.63"
"Farmwell Station MS";"Aug 9, 2026, 20:00:00";"5.17";"0";"17.92"
"Farmwell Station MS";"Aug 9, 2026, 19:00:00";"3.4";"0";"18.01"
"Farmwell Station MS";"Aug 9, 2026, 18:00:00";"1.82";"0";"16.4"
"Farmwell Station MS";"Aug 9, 2026, 17:00:00";"3.65";"0";"15.36"
"Farmwell Station MS";"Aug 9, 2026, 16:00:00";"2.89";"0";"13.5"
"Farmwell Station MS";"Aug 9, 2026, 15:00:00";"2.16";"0";"14.77"
"Farmwell Station MS";"Aug 9, 2026, 14:00:00";"0.23";"0";"15.56"
"Farmwell Station MS";"Aug 9, 2026, 13:00:00";"1.02";"0";"16.78"
"Farmwell Station MS";"Aug 9, 2026, 12:00:00";"0";"0";"14.46"
"Farmwell Station MS";"Aug 9, 2026, 11:00:00";"0";"0";"13.78"
"Farmwell Station MS";"Aug 9, 2026, 10:00:00";"0";"0";"12.27"
"Farmwell Station MS";"Aug 9, 2026, 09:00:00";"0";"0";"9.5"
"Farmwell Station MS";"Aug 9, 2026, 08:00:00";"1.02";"24.95";"7.28"
"Farmwell Station MS";"Aug 9, 2026, 07:00:00";"1.6";"47.29";"8.41"
"Farmwell Station MS";"Aug 9, 2026, 06:00:00";"2.3";"51.19";"7.25"
"Farmwell Station MS";"Aug 9, 2026, 05:00:00";"0";"0";"6.99"
"Farmwell Station MS";"Aug 9, 2026, 04:00:00";"1.49";"33.26";"7.66"
"Farmwell Station MS";"Aug 9, 2026, 03:00:00";"2.75";"16.7";"7.02"
"Farmwell Station MS";"Aug 9, 2026, 02:00:00";"2.89";"0";"7.05"
"Farmwell Station MS";"Aug 9, 2026, 01:00:00";"3.6";"0";"7.41"
"Farmwell Station MS";"Aug 9, 2026, 00:00:00";"4.05";"0";"6.99"
"Farmwell Station MS";"Aug 8, 2026, 23:00:00";"4.38";"0";"7.34"
"Farmwell Station MS";"Aug 8, 2026, 22:00:00";"4.18";"0";"7.88"
"Farmwell Station MS";"Aug 8, 2026, 21:00:00";"4.54";"0";"8.17"
"Farmwell Station MS";"Aug 8, 2026, 20:00:00";"3.82";"0";"8.43"
"Farmwell Station MS";"Aug 8, 2026, 19:00:00";"2.09";"0";"10.73"
"Farmwell Station MS";"Aug 8, 2026, 18:00:00";"0.92";"0";"10.24"
"Farmwell Station MS";"Aug 8, 2026, 17:00:00";"4.91";"0";"11.78"
