sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Newberry Condo Assoc";"May 14, 2026, 10:00:00";"33";"0.38";"0.13";"42.15";"4.45"
"Newberry Condo Assoc";"May 14, 2026, 09:00:00";"33";"0.75";"0.12";"42.08";"5.59"
"Newberry Condo Assoc";"May 14, 2026, 08:00:00";"33";"2.08";"0.14";"43.48";"10.52"
"Newberry Condo Assoc";"May 14, 2026, 07:00:00";"32";"1.54";"0.12";"43.22";"16.09"
"Newberry Condo Assoc";"May 14, 2026, 06:00:00";"29";"2.38";"0.16";"44.07";"18.53"
"Newberry Condo Assoc";"May 14, 2026, 05:00:00";"27";"2.2";"0.11";"43.72";"13.82"
"Newberry Condo Assoc";"May 14, 2026, 04:00:00";"25";"2.39";"0.11";"43.5";"11.98"
"Newberry Condo Assoc";"May 14, 2026, 03:00:00";"23";"3.15";"0.12";"44.42";"20.93"
"Newberry Condo Assoc";"May 14, 2026, 02:00:00";"20";"3.94";"0.14";"46.62";"19.44"
"Newberry Condo Assoc";"May 14, 2026, 01:00:00";"17";"12.19";"0.17";"45.69";"12.98"
"Newberry Condo Assoc";"May 14, 2026, 00:00:00";"15";"12.11";"0.21";"44.11";"9.41"
"Newberry Condo Assoc";"May 13, 2026, 23:00:00";"14";"7.14";"0.17";"40.02";"4.28"
"Newberry Condo Assoc";"May 13, 2026, 22:00:00";"13";"4.37";"0.17";"38.47";"3.7"
"Newberry Condo Assoc";"May 13, 2026, 21:00:00";"13";"3.07";"0.18";"39.84";"2.6"
"Newberry Condo Assoc";"May 13, 2026, 20:00:00";"13";"3.53";"0.23";"42.91";"3.14"
"Newberry Condo Assoc";"May 13, 2026, 19:00:00";"13";"4.52";"0.23";"41.75";"3.11"
"Newberry Condo Assoc";"May 13, 2026, 18:00:00";"13";"3.39";"0.23";"40.56";"3.39"
"Newberry Condo Assoc";"May 13, 2026, 17:00:00";"13";"6.13";"0.27";"44.76";"3.15"
"Newberry Condo Assoc";"May 13, 2026, 16:00:00";"13";"3.96";"0.24";"39.69";"3.21"
"Newberry Condo Assoc";"May 13, 2026, 15:00:00";"12";"0.96";"0.22";"34.79";"3.24"
"Newberry Condo Assoc";"May 13, 2026, 14:00:00";"12";"0.14";"0.22";"36.82";"3.05"
"Newberry Condo Assoc";"May 13, 2026, 13:00:00";"12";"0.3";"0.21";"34.6";"3.29"
"Newberry Condo Assoc";"May 13, 2026, 12:00:00";"12";"1.59";"0.2";"35.31";"3.67"
"Newberry Condo Assoc";"May 13, 2026, 11:00:00";"12";"2.17";"0.2";"35.81";"4.36"
"Newberry Condo Assoc";"May 13, 2026, 10:00:00";"12";"4.85";"0.21";"34.22";"4.46"
"Newberry Condo Assoc";"May 13, 2026, 09:00:00";"11";"6.17";"0.19";"28.72";"4.33"
"Newberry Condo Assoc";"May 13, 2026, 08:00:00";"11";"6.73";"0.17";"26.56";"3.71"
"Newberry Condo Assoc";"May 13, 2026, 07:00:00";"11";"6.23";"0.16";"25.09";"3.25"
"Newberry Condo Assoc";"May 13, 2026, 06:00:00";"11";"3.78";"0.14";"24.59";"3.17"
"Newberry Condo Assoc";"May 13, 2026, 05:00:00";"11";"2.06";"0.13";"26.16";"2.81"
"Newberry Condo Assoc";"May 13, 2026, 04:00:00";"11";"1.59";"0.13";"27.92";"2.39"
"Newberry Condo Assoc";"May 13, 2026, 03:00:00";"11";"1.37";"0.14";"29.5";"2.32"
"Newberry Condo Assoc";"May 13, 2026, 02:00:00";"11";"1.7";"0.15";"29.97";"2.25"
"Newberry Condo Assoc";"May 13, 2026, 01:00:00";"11";"1.61";"0.16";"30.69";"2.02"
"Newberry Condo Assoc";"May 13, 2026, 00:00:00";"11";"2.1";"0.18";"31.47";"1.91"
"Newberry Condo Assoc";"May 12, 2026, 23:00:00";"11";"2.66";"0.2";"32.16";"2.15"
"Newberry Condo Assoc";"May 12, 2026, 22:00:00";"11";"2.8";"0.22";"34.19";"2.51"
"Newberry Condo Assoc";"May 12, 2026, 21:00:00";"11";"2.5";"0.22";"35.39";"2.85"
"Newberry Condo Assoc";"May 12, 2026, 20:00:00";"11";"0.62";"0.21";"33.82";"2.2"
"Newberry Condo Assoc";"May 12, 2026, 19:00:00";"11";"0.36";"0.2";"33.57";"2.25"
"Newberry Condo Assoc";"May 12, 2026, 18:00:00";"11";"0.16";"0.19";"33.27";"2.21"
"Newberry Condo Assoc";"May 12, 2026, 17:00:00";"11";"0.02";"0.2";"32.35";"2.04"
"Newberry Condo Assoc";"May 12, 2026, 16:00:00";"11";"0";"0.19";"32.17";"2.23"
"Newberry Condo Assoc";"May 12, 2026, 15:00:00";"11";"0.09";"0.19";"32.45";"2.54"
"Newberry Condo Assoc";"May 12, 2026, 14:00:00";"11";"0.05";"0.18";"34.07";"3.04"
"Newberry Condo Assoc";"May 12, 2026, 13:00:00";"11";"0.29";"0.16";"34.71";"3.14"
"Newberry Condo Assoc";"May 12, 2026, 12:00:00";"11";"0";"0.15";"35.22";"3"
"Newberry Condo Assoc";"May 12, 2026, 11:00:00";"10";"0";"0.16";"33.47";"2.39"
"Newberry Condo Assoc";"May 12, 2026, 10:00:00";"10";"0.47";"0.15";"31.99";"2.54"
"Newberry Condo Assoc";"May 12, 2026, 09:00:00";"10";"1.02";"0.11";"28.98";"2.13"
"Newberry Condo Assoc";"May 12, 2026, 08:00:00";"10";"3.42";"0.12";"29.41";"2.36"
"Newberry Condo Assoc";"May 12, 2026, 07:00:00";"10";"3.22";"0.1";"28.85";"2.51"
"Newberry Condo Assoc";"May 12, 2026, 06:00:00";"10";"2.64";"0.12";"29.93";"3.03"
"Newberry Condo Assoc";"May 12, 2026, 05:00:00";"10";"3.45";"0.13";"32.01";"4.28"
"Newberry Condo Assoc";"May 12, 2026, 04:00:00";"9";"3.71";"0.12";"33.25";"3.92"
"Newberry Condo Assoc";"May 12, 2026, 03:00:00";"9";"3.14";"0.11";"29.38";"2.79"
"Newberry Condo Assoc";"May 12, 2026, 02:00:00";"9";"2.96";"0.11";"28.48";"2.38"
"Newberry Condo Assoc";"May 12, 2026, 01:00:00";"9";"3.02";"0.12";"26.91";"1.76"
