sep=;
"Location";"Date";"NO2 (ppb)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"Sterling MS";"Aug 10, 2026, 23:00:00";"12.41";"669.99";"6.9"
"Sterling MS";"Aug 10, 2026, 22:00:00";"15.43";"686.69";"6.33"
"Sterling MS";"Aug 10, 2026, 21:00:00";"9.64";"660.12";"6.03"
"Sterling MS";"Aug 10, 2026, 20:00:00";"11.43";"646.58";"6.18"
"Sterling MS";"Aug 10, 2026, 19:00:00";"10.9";"617.13";"8.02"
"Sterling MS";"Aug 10, 2026, 18:00:00";"9.25";"502.96";"7.98"
"Sterling MS";"Aug 10, 2026, 17:00:00";"7.21";"241.66";"8.81"
"Sterling MS";"Aug 10, 2026, 16:00:00";"0";"119.27";"15.68"
"Sterling MS";"Aug 10, 2026, 15:00:00";"0";"117.13";"15.6"
"Sterling MS";"Aug 10, 2026, 14:00:00";"0";"128.96";"16.99"
"Sterling MS";"Aug 10, 2026, 13:00:00";"0";"144.03";"18.31"
"Sterling MS";"Aug 10, 2026, 12:00:00";"0";"153.12";"18.17"
"Sterling MS";"Aug 10, 2026, 11:00:00";"0";"213.96";"21.6"
"Sterling MS";"Aug 10, 2026, 10:00:00";"0";"318.26";"20.46"
"Sterling MS";"Aug 10, 2026, 09:00:00";"0.29";"542.85";"14.7"
"Sterling MS";"Aug 10, 2026, 08:00:00";"3.05";"854.29";"9.96"
"Sterling MS";"Aug 10, 2026, 07:00:00";"6.99";"795.33";"9.55"
"Sterling MS";"Aug 10, 2026, 06:00:00";"2.58";"768.84";"12.83"
"Sterling MS";"Aug 10, 2026, 05:00:00";"0.53";"728.38";"14.06"
"Sterling MS";"Aug 10, 2026, 04:00:00";"0.47";"713.16";"12.37"
"Sterling MS";"Aug 10, 2026, 03:00:00";"0.52";"643.23";"12.15"
"Sterling MS";"Aug 10, 2026, 02:00:00";"0.14";"543.35";"13.22"
"Sterling MS";"Aug 10, 2026, 01:00:00";"10.88";"366.34";"13.86"
"Sterling MS";"Aug 10, 2026, 00:00:00";"11.4";"294.71";"14.07"
"Sterling MS";"Aug 9, 2026, 23:00:00";"4.49";"255.57";"14.51"
"Sterling MS";"Aug 9, 2026, 22:00:00";"7.28";"217.1";"14.61"
"Sterling MS";"Aug 9, 2026, 21:00:00";"3.28";"158.61";"16.54"
"Sterling MS";"Aug 9, 2026, 20:00:00";"0.79";"116.11";"17.78"
"Sterling MS";"Aug 9, 2026, 19:00:00";"0";"92.27";"17.09"
"Sterling MS";"Aug 9, 2026, 18:00:00";"0";"79.5";"16.35"
"Sterling MS";"Aug 9, 2026, 17:00:00";"0";"67.87";"14.97"
"Sterling MS";"Aug 9, 2026, 16:00:00";"0";"56.32";"13.61"
