sep=;
"Location";"Date";"AQI";"NO2 (ppb)";"CO (ppm)";"VOCs (ppb)";"PM2.5 (µg/m³)"
"VDOT MKC";"Sep 19, 2026, 23:00:00";"20";"3.89";"0.15";"996.17";"3.33"
"VDOT MKC";"Sep 19, 2026, 22:00:00";"21";"4.59";"0.17";"980.95";"3.73"
"VDOT MKC";"Sep 19, 2026, 21:00:00";"22";"5.51";"0.18";"952.64";"3.65"
"VDOT MKC";"Sep 19, 2026, 20:00:00";"22";"4.97";"0.18";"848.21";"3.83"
"VDOT MKC";"Sep 19, 2026, 19:00:00";"23";"4.98";"0.18";"658.89";"3.85"
"VDOT MKC";"Sep 19, 2026, 18:00:00";"24";"4.25";"0.18";"537.84";"4.24"
"VDOT MKC";"Sep 19, 2026, 17:00:00";"24";"2.37";"0.17";"437.25";"3.91"
"VDOT MKC";"Sep 19, 2026, 16:00:00";"27";"1.4";"0.18";"340.65";"4.65"
"VDOT MKC";"Sep 19, 2026, 15:00:00";"28";"0.02";"0.19";"339.8";"5.7"
"VDOT MKC";"Sep 19, 2026, 14:00:00";"23";"0.14";"0.19";"431.3";"5.03"
"VDOT MKC";"Sep 19, 2026, 13:00:00";"19";"0.23";"0.19";"441.94";"3.84"
"VDOT MKC";"Sep 19, 2026, 12:00:00";"15";"2.39";"0.17";"576.81";"3.36"
"VDOT MKC";"Sep 19, 2026, 11:00:00";"13";"2.33";"0.14";"748.25";"2.57"
"VDOT MKC";"Sep 19, 2026, 10:00:00";"12";"3.36";"0.12";"878.16";"2.14"
"VDOT MKC";"Sep 19, 2026, 09:00:00";"12";"5.29";"0.12";"949.4";"1.95"
"VDOT MKC";"Sep 19, 2026, 08:00:00";"12";"8";"0.11";"954.53";"2.07"
"VDOT MKC";"Sep 19, 2026, 07:00:00";"12";"6.94";"0.1";"920.64";"2.01"
"VDOT MKC";"Sep 19, 2026, 06:00:00";"13";"3.53";"0.1";"915.09";"1.97"
"VDOT MKC";"Sep 19, 2026, 05:00:00";"14";"4.05";"0.1";"960.87";"2.19"
"VDOT MKC";"Sep 19, 2026, 04:00:00";"14";"3.69";"0.1";"943.97";"2.39"
"VDOT MKC";"Sep 19, 2026, 03:00:00";"15";"3.35";"0.11";"894.56";"2.46"
"VDOT MKC";"Sep 19, 2026, 02:00:00";"15";"3.92";"0.12";"916.86";"2.45"
"VDOT MKC";"Sep 19, 2026, 01:00:00";"15";"7.75";"0.17";"970.23";"3.02"
"VDOT MKC";"Sep 19, 2026, 00:00:00";"15";"5.31";"0.17";"978.5";"2.98"
"VDOT MKC";"Sep 18, 2026, 23:00:00";"14";"6.27";"0.18";"984.73";"2.7"
"VDOT MKC";"Sep 18, 2026, 22:00:00";"13";"8.64";"0.18";"987.89";"2.17"
"VDOT MKC";"Sep 18, 2026, 21:00:00";"14";"10.37";"0.19";"963.21";"2.27"
"VDOT MKC";"Sep 18, 2026, 20:00:00";"15";"8.27";"0.18";"932.18";"2.54"
"VDOT MKC";"Sep 18, 2026, 19:00:00";"16";"6.74";"0.17";"828.04";"2.72"
"VDOT MKC";"Sep 18, 2026, 18:00:00";"17";"2.19";"0.16";"691.41";"2.84"
"VDOT MKC";"Sep 18, 2026, 17:00:00";"17";"4.28";"0.15";"753.89";"2.91"
"VDOT MKC";"Sep 18, 2026, 16:00:00";"18";"2.98";"0.14";"641.68";"3.01"
"VDOT MKC";"Sep 18, 2026, 15:00:00";"19";"1.9";"0.13";"531.33";"3.13"
"VDOT MKC";"Sep 18, 2026, 14:00:00";"20";"0.06";"0.11";"392.54";"2.86"
"VDOT MKC";"Sep 18, 2026, 13:00:00";"23";"0";"0.1";"511.61";"3.18"
"VDOT MKC";"Sep 18, 2026, 12:00:00";"29";"0";"0.1";"714.57";"3.54"
"VDOT MKC";"Sep 18, 2026, 11:00:00";"37";"0";"0.12";"1032.14";"5.51"
"VDOT MKC";"Sep 18, 2026, 10:00:00";"44";"0.59";"0.14";"1386.05";"6.24"
"VDOT MKC";"Sep 18, 2026, 09:00:00";"52";"7.17";"0.19";"1503.43";"7.16"
"VDOT MKC";"Sep 18, 2026, 08:00:00";"57";"14.21";"0.24";"1450.68";"10.44"
"VDOT MKC";"Sep 18, 2026, 07:00:00";"59";"11.66";"0.24";"1412.97";"14.22"
"VDOT MKC";"Sep 18, 2026, 06:00:00";"57";"6.74";"0.28";"1404.7";"13"
"VDOT MKC";"Sep 18, 2026, 05:00:00";"56";"10.73";"0.15";"1438.54";"10.28"
"VDOT MKC";"Sep 18, 2026, 04:00:00";"58";"1.13";"0.09";"1400.26";"13.29"
"VDOT MKC";"Sep 18, 2026, 03:00:00";"56";"0.76";"0.08";"1402.31";"12.12"
"VDOT MKC";"Sep 18, 2026, 02:00:00";"55";"1.06";"0.08";"1393.36";"11.86"
