site_id,pollutant,ts_est,category
ashburn-collocated,CO,2026-03-08 01:00:00,dst_spring_forward
ashburn-collocated,NO2,2026-03-08 01:00:00,dst_spring_forward
ashburn-collocated,PM2.5,2026-03-08 01:00:00,dst_spring_forward
ashburn-collocated,VOCs,2026-03-08 01:00:00,dst_spring_forward
belfort-park,CO,2026-06-20 04:00:00,unexplained
belfort-park,NO2,2026-06-20 04:00:00,unexplained
belfort-park,PM2.5,2026-06-20 04:00:00,unexplained
belfort-park,VOCs,2026-06-20 04:00:00,unexplained
dulles-area,CO,2026-03-08 01:00:00,dst_spring_forward
dulles-area,NO2,2026-03-08 01:00:00,dst_spring_forward
dulles-area,PM2.5,2026-03-08 01:00:00,dst_spring_forward
dulles-area,VOCs,2026-03-08 01:00:00,dst_spring_forward
farmwell-middle,CO,2026-06-20 04:00:00,unexplained
farmwell-middle,NO2,2026-06-20 04:00:00,unexplained
farmwell-middle,PM2.5,2026-06-20 04:00:00,unexplained
farmwell-middle,VOCs,2026-06-20 04:00:00,unexplained
farmwell-middle,CO,2026-07-20 03:00:00,unexplained
farmwell-middle,NO2,2026-07-20 03:00:00,unexplained
farmwell-middle,PM2.5,2026-07-20 03:00:00,unexplained
farmwell-middle,VOCs,2026-07-20 03:00:00,unexplained
heritage-farm,CO,2026-03-08 01:00:00,dst_spring_forward
heritage-farm,NO2,2026-03-08 01:00:00,dst_spring_forward
heritage-farm,PM2.5,2026-03-08 01:00:00,dst_spring_forward
heritage-farm,VOCs,2026-03-08 01:00:00,dst_spring_forward
heritage-farm,CO,2026-06-04 03:00:00,unexplained
heritage-farm,NO2,2026-06-04 03:00:00,unexplained
heritage-farm,PM2.5,2026-06-04 03:00:00,unexplained
heritage-farm,VOCs,2026-06-04 03:00:00,unexplained
newberry-condo,CO,2026-03-08 01:00:00,dst_spring_forward
newberry-condo,NO2,2026-03-08 01:00:00,dst_spring_forward
newberry-condo,PM2.5,2026-03-08 01:00:00,dst_spring_forward
newberry-condo,VOCs,2026-03-08 01:00:00,dst_spring_forward
sterling-ms,CO,2026-06-29 14:00:00,unexplained
sterling-ms,NO2,2026-06-29 14:00:00,unexplained
sterling-ms,PM2.5,2026-06-29 14:00:00,unexplained
sterling-ms,VOCs,2026-06-29 14:00:00,unexplained
steuart-weller,CO,2026-03-08 01:00:00,dst_spring_forward
steuart-weller,NO2,2026-03-08 01:00:00,dst_spring_forward
steuart-weller,PM2.5,2026-03-08 01:00:00,dst_spring_forward
steuart-weller,VOCs,2026-03-08 01:00:00,dst_spring_forward
